#instance_name: normalized-10arraycomm_teq_tvars_less
#number_of_variables: 620
#number_of_Constraints: 341
#iteration elapsed_time averaged_inner_iteration_speed averaged_move_evaluation_speed local_objective local_violation global_objective global_violation primal_intensity dual_intensity performance update_status distance_from_current_solution distance_from_global_solution employing_local_solution_flag employing_global_solution_flag employing_previous_solution_flag is_enabled_penalty_coefficient_relaxing is_enabled_penalty_coefficient_tightening penalty_coefficient_reset_flag penalty_coefficient_relaxing_rate penalty_coefficient_tightening_rate is_enabled_forcibly_initial_modification number_of_initial_modification initial_tabu_tenure number_of_threads_move_update; averaged_number_of_threads_move_update; number_of_threads_move_evaluation averaged_number_of_threads_move_evaluation 
142 8.00954 37008 2.81944e+07 0 2 0 1 0.00206594 0.00435368 0.002 1 179 253 1 0 0 0 1 0 0.88224 1 1 16 32 1 1.27972 1 1.55944
143 8.0565 37041.7 2.82198e+07 0 3 0 1 0.00206677 0.00435249 0.001 1 160 265 1 0 0 0 1 0 0.88224 1 1 19 32 1 1.27778 1 1.55556
144 8.1023 37080.5 2.82497e+07 0 2 0 1 0.00206715 0.0043515 0.001 1 106 291 1 0 0 0 1 0 0.88224 1 1 20 32 1 1.27586 1 1.55172
145 8.14612 37128.2 2.82857e+07 0 3 0 1 0.00206966 0.00435546 0.0005 1 64 303 1 0 0 0 1 0 0.88224 1 1 19 33 1 1.27397 1 1.54795
146 8.19053 37172.6 2.83201e+07 0 3 0 1 0.00207244 0.00436502 0 0 0 303 0 1 0 1 0 0 0.890016 1 1 12 32 1 1.27211 1 1.54422
147 8.23776 37203.3 2.83447e+07 0 1 0 1 0.00207397 0.00436901 0.0005 1 173 173 1 0 0 0 1 0 0.890016 1 1 22 33 1 1.27027 1 1.54054
148 8.28614 37228.3 2.8365e+07 0 1 0 1 0.00207469 0.00436052 0.0025 1 185 226 1 0 0 0 1 0 0.890016 1 1 13 34 1 1.26846 1 1.53691
149 8.33084 37270.1 2.83973e+07 0 1 0 1 0.0020734 0.00435327 0.002 1 140 210 1 0 0 0 1 0 0.890016 1 1 15 33 1 1.26667 1 1.53333
150 8.37753 37302.2 2.8421e+07 0 1 0 1 0.00207184 0.00434566 0.0025 1 70 216 1 0 0 0 1 0 0.890016 1 1 15 32 1 1.2649 1 1.5298
151 8.42306 37339.2 2.84496e+07 0 3 0 1 0.00207195 0.00434127 0.001 1 75 239 1 0 0 0 1 0 0.890016 1 1 21 32 1 1.26316 1 1.52632
152 8.46768 37380 2.84804e+07 0 2 0 1 0.00207374 0.00434785 0.0025 1 170 249 1 0 0 0 1 0 0.890016 1 1 12 33 1 1.26144 1 1.52288
153 8.51182 37422.5 2.85136e+07 0 2 0 1 0.00207521 0.00434405 0.0015 1 101 248 1 0 0 0 1 0 0.890016 1 1 18 34 1 1.25974 1 1.51948
154 8.55734 37458.4 2.85399e+07 0 2 0 1 0.00207513 0.00434197 0.0015 1 128 242 1 0 0 0 1 0 0.890016 1 1 8 33 1 1.25806 1 1.51613
155 8.60186 37498.3 2.85714e+07 0 3 0 1 0.00207655 0.00433962 0.001 1 99 241 1 0 0 0 1 0 0.890016 1 1 21 34 1 1.25641 1 1.51282
156 8.6464 37537.7 2.86016e+07 0 1 0 1 0.00207802 0.00433708 0.002 1 165 266 1 0 0 0 1 0 0.890016 1 1 11 35 1 1.25478 1 1.50955
157 8.6913 37575.1 2.86305e+07 0 2 0 1 0.00207919 0.0043343 0.0015 1 125 275 1 0 0 0 1 0 0.890016 1 1 9 35 1 1.25316 1 1.50633
158 8.73752 37606.3 2.86543e+07 0 2 0 1 0.0020793 0.00433154 0.0015 1 131 290 1 0 0 0 1 0 0.890016 1 1 22 34 1 1.25157 1 1.50314
159 8.78199 37644.8 2.86845e+07 0 2 0 1 0.0020798 0.00433652 0 0 0 290 0 1 0 1 0 0 0.897014 1 1 18 33 1 1.25 1 1.5
160 8.82599 37685 2.87151e+07 0 1 0 1 0.0020787 0.00432802 0 0 0 0 0 1 0 1 0 0 0.903313 1 1 15 32 1 1.24845 1 1.49689
161 8.87245 37714 2.8737e+07 0 1 0 1 0.0020779 0.00432793 0.0005 1 184 184 1 0 0 0 1 0 0.903313 1 1 18 31 1 1.24691 1 1.49383
162 8.91649 37753.3 2.87655e+07 0 1 0 1 0.00207424 0.00431876 0.002 1 86 226 1 0 0 0 1 0 0.903313 1 1 13 30 1 1.2454 1 1.4908
163 8.96203 37785.7 2.87906e+07 0 1 0 1 0.00207446 0.00431921 0.0025 1 104 274 1 0 0 0 1 0 0.903313 1 1 21 30 1 1.2439 1 1.4878
164 9.00916 37810.8 2.88096e+07 0 2 0 1 0.00207515 0.00430952 0.0025 1 150 314 1 0 0 0 1 0 0.903313 1 1 19 31 1 1.24242 1 1.48485
165 9.05637 37835.3 2.8829e+07 0 2 0 1 0.0020761 0.00430775 0 0 0 314 0 1 0 1 0 0 0.908982 1 1 12 30 1 1.24096 1 1.48193
166 9.10062 37872.2 2.88564e+07 0 1 0 1 0.00207595 0.00430263 0.0005 1 131 131 1 0 0 0 1 0 0.908982 1 1 8 31 1 1.23952 1 1.47904
167 9.14836 37893.9 2.88734e+07 0 1 0 1 0.00207552 0.0042941 0.003 1 49 128 1 0 0 0 1 0 0.908982 1 1 18 30 1 1.2381 1 1.47619
168 9.19245 37930.8 2.89011e+07 0 1 0 1 0.00207665 0.00428938 0.0025 1 122 184 1 0 0 0 1 0 0.908982 1 1 10 31 1 1.23669 1 1.47337
169 9.23844 37959.3 2.89232e+07 0 1 0 1 0.00207759 0.00428608 0.0025 1 69 195 1 0 0 0 1 0 0.908982 1 1 8 32 1 1.23529 1 1.47059
170 9.28402 37989.3 2.89461e+07 0 4 0 1 0.00207657 0.00428057 0.0015 1 63 206 1 0 0 0 1 0 0.908982 1 1 18 31 1 1.23392 1 1.46784
171 9.33034 38015.9 2.89662e+07 0 2 0 1 0.00207755 0.00427866 0.003 1 176 228 1 0 0 0 1 0 0.908982 1 1 9 32 1 1.23256 1 1.46512
172 9.37584 38045.6 2.89892e+07 0 4 0 1 0.00207807 0.00427353 0.001 1 110 244 1 0 0 0 1 0 0.908982 1 1 22 33 1 1.23121 1 1.46243
173 9.42335 38066.6 2.90058e+07 0 2 0 1 0.00207886 0.00427235 0.002 1 71 249 1 0 0 0 1 0 0.908982 1 1 21 34 1 1.22989 1 1.45977
174 9.47074 38088 2.90216e+07 0 5 0 1 0.00207966 0.00427405 0.0005 1 107 244 1 0 0 0 1 0 0.908982 1 1 18 35 1 1.22857 1 1.45714
175 9.51785 38110.2 2.90377e+07 0 2 0 1 0.00208132 0.00428114 0.0025 1 188 310 1 0 0 0 1 0 0.908982 1 1 13 36 1 1.22727 1 1.45455
176 9.56452 38134.1 2.90551e+07 0 1 0 1 0.00208071 0.00427752 0.002 1 70 300 1 0 0 0 1 0 0.908982 1 1 11 35 1 1.22599 1 1.45198
177 9.61186 38155 2.90708e+07 0 2 0 1 0.00207846 0.00427447 0.003 1 81 319 1 0 0 0 1 0 0.908982 1 1 12 34 1 1.22472 1 1.44944
178 9.65841 38178.8 2.90891e+07 0 3 0 1 0.00207706 0.00426751 0.0025 1 142 305 1 0 0 0 1 0 0.908982 1 1 9 33 1 1.22346 1 1.44693
179 9.70377 38207.3 2.91114e+07 0 4 0 1 0.00207756 0.00426165 0.001 1 47 310 1 0 0 0 1 0 0.908982 1 1 11 34 1 1.22222 1 1.44444
180 9.75022 38231.1 2.91296e+07 0 1 0 1 0.00207727 0.0042563 0.003 1 94 306 1 0 0 0 1 0 0.908982 1 1 20 33 1 1.22099 1 1.44199
181 9.79445 38263.6 2.91545e+07 0 1 0 1 0.00207789 0.00425548 0.004 1 147 317 1 0 0 0 1 0 0.908982 1 1 21 34 1 1.21978 1 1.43956
182 9.83922 38293.6 2.91783e+07 0 2 0 1 0.00207963 0.00425662 0.002 1 69 306 1 0 0 0 1 0 0.908982 1 1 16 35 1 1.21858 1 1.43716
183 9.88533 38318 2.91969e+07 0 4 0 1 0.00208006 0.00425562 0.0015 1 76 292 1 0 0 0 1 0 0.908982 1 1 21 36 1 1.21739 1 1.43478
184 9.93224 38338.9 2.92121e+07 0 2 0 1 0.0020812 0.00425793 0.0035 1 146 328 1 0 0 0 1 0 0.908982 1 1 19 36 1 1.21622 1 1.43243
185 9.97782 38365 2.92317e+07 0 2 0 1 0.00208263 0.00426386 0.002 1 182 314 1 0 0 0 1 0 0.908982 1 1 9 37 1 1.21505 1 1.43011
186 10.0228 38393 2.92535e+07 0 5 0 1 0.00208402 0.00426686 0.001 1 94 312 1 0 0 0 1 0 0.908982 1 1 10 38 1 1.2139 1 1.42781
187 10.0676 38421.7 2.92748e+07 0 1 0 1 0.00208517 0.00426689 0.0025 1 113 305 1 0 0 0 1 0 0.908982 1 1 17 39 1 1.21277 1 1.42553
188 10.1114 38454.1 2.92979e+07 0 2 0 1 0.00208473 0.00426004 0.0035 1 138 329 1 1 0 0 1 1 0.908982 1 1 24 38 1 1.21164 1 1.42328
189 10.1557 38484.2 2.93213e+07 0 1 0 1 0.00208152 0.00425886 0 0 0 0 0 1 0 1 0 0 0.914083 1 1 9 37 1 1.21053 1 1.42105
190 10.1997 38514.9 2.93441e+07 0 1 0 1 0.00207893 0.00425723 0.0005 1 153 153 1 0 0 0 1 0 0.914083 1 1 17 36 1 1.20942 1 1.41885
191 10.2459 38537.2 2.93604e+07 0 1 0 1 0.00207611 0.00425664 0.0005 1 146 219 1 0 0 0 1 0 0.914083 1 1 11 35 1 1.20833 1 1.41667
192 10.2926 38557.2 2.93758e+07 0 1 0 1 0.00207458 0.00425513 0 0 0 219 0 1 0 1 0 0 0.918675 1 1 16 34 1 1.20725 1 1.41451
193 10.3403 38573.3 2.93891e+07 0 1 0 1 0.0020719 0.00425403 0.0005 1 166 166 1 0 0 0 1 0 0.918675 1 1 15 33 1 1.20619 1 1.41237
194 10.3877 38590.1 2.9402e+07 0 1 0 1 0.00207141 0.0042535 0.0005 1 81 215 1 0 0 0 1 0 0.918675 1 1 8 32 1 1.20513 1 1.41026
195 10.4354 38605.8 2.94138e+07 0 1 0 1 0.00206886 0.00425171 0.0005 1 50 219 1 0 0 0 1 0 0.918675 1 1 14 31 1 1.20408 1 1.40816
196 10.4791 38636.4 2.94367e+07 0 1 0 1 0.00206852 0.00424856 0.0005 1 177 204 1 0 0 0 1 0 0.918675 1 1 21 30 1 1.20305 1 1.40609
197 10.5224 38668.3 2.94603e+07 0 1 0 1 0.00206822 0.00424859 0.0005 1 80 216 1 0 0 0 1 0 0.918675 1 1 21 30 1 1.20202 1 1.40404
198 10.5674 38693.6 2.94802e+07 0 1 0 1 0.00206835 0.00424811 0.0005 1 58 218 1 0 0 0 1 0 0.918675 1 1 13 30 1 1.20101 1 1.40201
199 10.6133 38715.5 2.94964e+07 0 1 0 1 0.00206347 0.0042435 0.0005 1 56 222 1 0 0 0 1 0 0.918675 1 1 16 30 1 1.2 1 1.4
200 10.6571 38744.7 2.95183e+07 0 1 0 1 0.00206233 0.00424479 0.0005 1 82 222 1 0 0 0 1 0 0.918675 1 1 16 30 1 1.199 1 1.39801
201 10.7044 38760.9 2.95311e+07 0 1 0 1 0.00206312 0.0042463 0.0005 1 114 236 1 0 0 0 1 0 0.918675 1 1 14 31 1 1.19802 1 1.39604
202 10.7514 38777.7 2.95438e+07 0 1 0 1 0.0020628 0.00424518 0.0005 1 59 249 1 0 0 0 1 0 0.918675 1 1 12 30 1 1.19704 1 1.39409
203 10.7991 38792 2.95555e+07 0 1 0 1 0.00206355 0.00424752 0.0005 1 67 250 1 0 0 0 1 0 0.918675 1 1 12 31 1 1.19608 1 1.39216
204 10.8464 38807.7 2.95679e+07 0 1 0 1 0.00206381 0.00424984 0 0 0 250 0 1 0 1 0 0 0.922808 1 1 21 30 1 1.19512 1 1.39024
205 10.8937 38823.4 2.95796e+07 0 1 0 1 0.00206309 0.00424942 0.0005 1 70 70 1 0 0 0 1 0 0.922808 1 1 13 30 1 1.19417 1 1.38835
206 10.9383 38848.4 2.95996e+07 0 1 0 1 0.00205815 0.00424392 0.0005 1 79 107 1 0 0 0 1 0 0.922808 1 1 9 30 1 1.19324 1 1.38647
207 10.9834 38871.6 2.96184e+07 0 1 0 1 0.00205871 0.00424296 0.0005 1 121 150 1 0 0 0 1 0 0.922808 1 1 10 31 1 1.19231 1 1.38462
208 11.0273 38898.8 2.96389e+07 0 1 0 1 0.0020565 0.0042391 0.0005 1 56 158 1 0 0 0 1 0 0.922808 1 1 11 30 1 1.19139 1 1.38278
209 11.0744 38914.4 2.96526e+07 0 1 0 1 0.00205809 0.00423931 0 0 0 158 0 1 0 1 0 0 0.926527 1 1 19 30 1 1.19048 1 1.38095
210 11.1194 38937.3 2.96709e+07 0 1 0 1 0.00205396 0.00423377 0.0005 1 105 105 1 0 0 0 1 0 0.926527 1 1 16 30 1 1.18957 1 1.37915
211 11.1641 38961.1 2.96892e+07 0 1 0 1 0.00205187 0.00422969 0.0005 1 152 181 1 0 0 0 1 0 0.926527 1 1 8 30 1 1.18868 1 1.37736
212 11.2088 38984.8 2.9707e+07 0 1 0 1 0.00205237 0.00423143 0.0005 1 82 171 1 0 0 0 1 0 0.926527 1 1 18 31 1 1.18779 1 1.37559
213 11.2553 39001.8 2.97198e+07 0 1 0 1 0.00205274 0.00423354 0.0005 1 101 186 1 0 0 0 1 0 0.926527 1 1 19 30 1 1.18692 1 1.37383
214 11.3019 39018.4 2.97316e+07 0 1 0 1 0.00204946 0.00422981 0.0005 1 43 197 1 0 0 0 1 0 0.926527 1 1 17 30 1 1.18605 1 1.37209
215 11.3466 39041.6 2.97503e+07 0 1 0 1 0.00205002 0.00422696 0 0 0 197 0 1 0 1 0 0 0.929874 1 1 12 30 1 1.18519 1 1.37037
216 11.3908 39066.4 2.97702e+07 0 1 0 1 0.00204713 0.0042222 0.0005 1 75 75 1 0 0 0 1 0 0.929874 1 1 21 30 1 1.18433 1 1.36866
217 11.4347 39091.7 2.97896e+07 0 1 0 1 0.00204602 0.00421974 0.0005 1 178 211 1 0 0 0 1 0 0.929874 1 1 11 30 1 1.18349 1 1.36697
218 11.4795 39114.2 2.98079e+07 0 1 0 1 0.00204486 0.0042154 0.0005 1 58 213 1 0 0 0 1 0 0.929874 1 1 17 30 1 1.18265 1 1.3653
219 11.523 39140.6 2.98274e+07 0 1 0 1 0.00204444 0.00421604 0.0005 1 109 228 1 0 0 0 1 0 0.929874 1 1 18 31 1 1.18182 1 1.36364
220 11.567 39165.3 2.98463e+07 0 1 0 1 0.00204454 0.00421743 0.0005 1 161 225 1 0 0 0 1 0 0.929874 1 1 9 30 1 1.181 1 1.36199
221 11.6133 39181.6 2.98598e+07 0 1 0 1 0.00204498 0.00421864 0.0005 1 46 231 1 0 0 0 1 0 0.929874 1 1 13 30 1 1.18018 1 1.36036
222 11.6608 39194 2.98697e+07 0 1 0 1 0.00204502 0.00422067 0.0005 1 110 205 1 0 0 0 1 0 0.929874 1 1 17 30 1 1.17937 1 1.35874
223 11.7059 39214.3 2.98847e+07 0 1 0 1 0.00204377 0.0042201 0.0005 1 109 236 1 0 0 0 1 0 0.929874 1 1 21 30 1 1.17857 1 1.35714
224 11.7503 39236.9 2.99015e+07 0 1 0 1 0.00204275 0.00422066 0.0005 1 54 246 1 0 0 0 1 0 0.929874 1 1 12 30 1 1.17778 1 1.35556
225 11.7983 39246.9 2.99106e+07 0 1 0 1 0.002043 0.00422351 0 0 0 246 0 1 0 1 0 0 0.932887 1 1 15 30 1 1.17699 1 1.35398
226 11.8459 39258.2 2.99196e+07 0 1 0 1 0.00204089 0.00421907 0.0005 1 150 150 1 0 0 0 1 0 0.932887 1 1 8 30 1 1.17621 1 1.35242
227 11.8937 39268.8 2.99279e+07 0 1 0 1 0.00203888 0.00421522 0.0005 1 78 170 1 0 0 0 1 0 0.932887 1 1 20 30 1 1.17544 1 1.35088
228 11.9412 39280.7 2.99365e+07 0 1 0 1 0.00203767 0.00421136 0.0005 1 77 201 1 0 0 0 1 0 0.932887 1 1 11 30 1 1.17467 1 1.34934
229 11.9868 39298.3 2.99503e+07 0 1 0 1 0.00203838 0.00421308 0.0005 1 75 202 1 0 0 0 1 0 0.932887 1 1 12 31 1 1.17391 1 1.34783
230 12.0314 39319.5 2.9967e+07 0 1 0 1 0.00203761 0.00421026 0.0005 1 185 219 1 0 0 0 1 0 0.932887 1 1 11 30 1 1.17316 1 1.34632
231 12.0763 39339.3 2.99829e+07 0 1 0 1 0.0020375 0.00420964 0.0005 1 141 202 1 0 0 0 1 0 0.932887 1 1 16 30 1 1.17241 1 1.34483
232 12.1191 39365.9 3.00015e+07 0 1 0 1 0.00203568 0.00420788 0.0005 1 92 236 1 0 0 0 1 0 0.932887 1 1 13 30 1 1.17167 1 1.34335
233 12.1641 39385.2 3.00165e+07 0 1 0 1 0.00203644 0.00420903 0.0005 1 67 239 1 0 0 0 1 0 0.932887 1 1 11 31 1 1.17094 1 1.34188
234 12.2116 39396.1 3.00252e+07 0 1 0 1 0.00203497 0.00420558 0.0005 1 134 241 1 0 0 0 1 0 0.932887 1 1 20 30 1 1.17021 1 1.34043
235 12.2581 39410.1 3.00351e+07 0 1 0 1 0.00203349 0.0042033 0.0005 1 159 260 1 0 0 0 1 0 0.932887 1 1 9 30 1 1.16949 1 1.33898
236 12.3055 39421 3.00436e+07 0 1 0 1 0.00203417 0.00420457 0.0005 1 51 261 1 0 0 0 1 0 0.932887 1 1 17 31 1 1.16878 1 1.33755
237 12.3523 39434 3.0053e+07 0 1 0 1 0.0020342 0.00420623 0 0 0 261 0 1 0 1 0 0 0.935598 1 1 8 30 1 1.16807 1 1.33613
238 12.399 39447.2 3.00627e+07 0 1 0 1 0.00203215 0.00420115 0.0005 1 47 47 1 0 0 0 1 0 0.935598 1 1 17 30 1 1.16736 1 1.33473
239 12.4439 39466 3.00769e+07 0 1 0 1 0.00203086 0.00419644 0.0005 1 73 112 1 0 0 0 1 0 0.935598 1 1 13 30 1 1.16667 1 1.33333
240 12.4876 39488.3 3.00933e+07 0 1 0 1 0.00203083 0.00419707 0.0005 1 154 198 1 0 0 0 1 0 0.935598 1 1 9 31 1 1.16598 1 1.33195
241 12.5345 39500.4 3.01026e+07 0 1 0 1 0.00203154 0.00419911 0.0005 1 86 184 1 0 0 0 1 0 0.935598 1 1 12 32 1 1.16529 1 1.33058
242 12.5791 39519.9 3.01169e+07 0 1 0 1 0.00203223 0.00420149 0.0005 1 52 204 1 0 0 0 1 0 0.935598 1 1 13 33 1 1.16461 1 1.32922
243 12.6229 39541.8 3.01332e+07 0 1 0 1 0.00203179 0.00420351 0.0005 1 108 216 1 0 0 0 1 0 0.935598 1 1 16 32 1 1.16393 1 1.32787
244 12.6679 39559.4 3.01474e+07 0 1 0 1 0.00203189 0.00420402 0 0 0 216 0 1 0 1 0 0 0.938038 1 1 13 31 1 1.16327 1 1.32653
245 12.7133 39576 3.01598e+07 0 1 0 1 0.00203005 0.00419919 0.0005 1 83 83 1 0 0 0 1 0 0.938038 1 1 14 30 1 1.1626 1 1.3252
246 12.761 39584.8 3.01672e+07 0 1 0 1 0.00202996 0.00419932 0.0005 1 80 145 1 0 0 0 1 0 0.938038 1 1 19 31 1 1.16194 1 1.32389
247 12.8082 39595.3 3.01747e+07 0 1 0 1 0.00202961 0.00419984 0.0005 1 170 205 1 0 0 0 1 0 0.938038 1 1 17 31 1 1.16129 1 1.32258
248 12.8556 39605.2 3.01817e+07 0 1 0 1 0.00202988 0.00420074 0 0 0 205 0 1 0 1 0 0 0.940234 1 1 9 30 1 1.16064 1 1.32129
249 12.9028 39615.4 3.01901e+07 0 1 0 1 0.00202859 0.00419692 0.0005 1 81 81 1 0 0 0 1 0 0.940234 1 1 9 30 1 1.16 1 1.32
250 12.9476 39633.4 3.02047e+07 0 1 0 1 0.00202738 0.00419314 0.0005 1 55 104 1 0 0 0 1 0 0.940234 1 1 19 30 1 1.15936 1 1.31873
251 12.9918 39652.7 3.02191e+07 0 1 0 1 0.002027 0.0041912 0.001 1 88 164 1 0 0 0 1 0 0.940234 1 1 13 30 1 1.15873 1 1.31746
252 13.036 39672.1 3.02334e+07 0 1 0 1 0.00202703 0.00419099 0.0005 1 170 202 1 0 0 0 1 0 0.940234 1 1 16 31 1 1.1581 1 1.31621
253 13.0805 39690.5 3.02471e+07 0 1 0 1 0.00202739 0.00419078 0.0005 1 51 225 1 0 0 0 1 0 0.940234 1 1 22 32 1 1.15748 1 1.31496
254 13.1251 39708.4 3.02603e+07 0 1 0 1 0.00202689 0.0041904 0.0005 1 119 208 1 0 0 0 1 0 0.940234 1 1 9 31 1 1.15686 1 1.31373
255 13.1702 39724.6 3.02734e+07 0 1 0 1 0.00202551 0.00418526 0.0005 1 70 224 1 0 0 0 1 0 0.940234 1 1 19 30 1 1.15625 1 1.3125
256 13.216 39738.7 3.02851e+07 0 1 0 1 0.00202537 0.0041836 0.0005 1 112 222 1 0 0 0 1 0 0.940234 1 1 18 31 1 1.15564 1 1.31128
257 13.2629 39749.1 3.02926e+07 0 1 0 1 0.00202615 0.00418773 0 0 0 222 0 1 0 1 0 0 0.942211 1 1 12 30 1 1.15504 1 1.31008
258 13.3105 39757.3 3.02989e+07 0 1 0 1 0.00202611 0.0041875 0.0005 1 154 154 1 0 0 0 1 0 0.942211 1 1 18 30 1 1.15444 1 1.30888
259 13.3545 39776.6 3.03138e+07 0 1 0 1 0.00202605 0.00418569 0.001 1 88 178 1 0 0 0 1 0 0.942211 1 1 9 31 1 1.15385 1 1.30769
260 13.399 39794 3.0328e+07 0 1 0 1 0.0020266 0.00418484 0.0005 1 46 180 1 0 0 0 1 0 0.942211 1 1 11 32 1 1.15326 1 1.30651
261 13.443 39813 3.0342e+07 0 1 0 1 0.00202661 0.00418061 0.0005 1 47 181 1 0 0 0 1 0 0.942211 1 1 10 31 1 1.15267 1 1.30534
262 13.4875 39830.3 3.03558e+07 0 1 0 1 0.00202742 0.00417788 0.001 1 129 202 1 0 0 0 1 0 0.942211 1 1 10 32 1 1.15209 1 1.30418
263 13.5322 39846.9 3.03692e+07 0 1 0 1 0.00202797 0.00417755 0.001 1 96 218 1 0 0 0 1 0 0.942211 1 1 22 33 1 1.15152 1 1.30303
264 13.5788 39857.6 3.0377e+07 0 2 0 1 0.00202723 0.00417439 0.0005 1 67 205 1 0 0 0 1 0 0.942211 1 1 22 32 1 1.15094 1 1.30189
265 13.6261 39866.1 3.03831e+07 0 2 0 1 0.00202588 0.00417735 0.0005 1 53 208 1 0 0 0 1 0 0.942211 1 1 8 31 1 1.15038 1 1.30075
266 13.6735 39874.6 3.03892e+07 0 1 0 1 0.00202551 0.00417858 0.001 1 179 249 1 0 0 0 1 0 0.942211 1 1 21 32 1 1.14981 1 1.29963
267 13.7204 39884.2 3.03965e+07 0 1 0 1 0.00202574 0.0041783 0.001 1 178 249 1 0 0 0 1 0 0.942211 1 1 23 32 1 1.14925 1 1.29851
268 13.7678 39892.3 3.0403e+07 0 1 0 1 0.00202587 0.00417576 0.001 1 151 236 1 0 0 0 1 0 0.942211 1 1 19 33 1 1.1487 1 1.2974
269 13.8144 39902.7 3.04103e+07 0 2 0 1 0.00202606 0.00417556 0.0005 1 215 281 1 0 0 0 1 0 0.942211 1 1 12 34 1 1.14815 1 1.2963
270 13.8599 39916.4 3.04211e+07 0 2 0 1 0.00202646 0.00417616 0.0005 1 97 280 1 0 0 0 1 0 0.942211 1 1 14 35 1 1.1476 1 1.2952
271 13.904 39933.7 3.04346e+07 0 2 0 1 0.00202727 0.00418049 0 0 0 280 0 1 0 1 0 0 0.94399 1 1 22 34 1 1.14706 1 1.29412
272 13.9472 39953.9 3.0449e+07 0 1 0 1 0.00202712 0.0041788 0.0005 1 140 140 1 0 0 0 1 0 0.94399 1 1 10 35 1 1.14652 1 1.29304
273 13.9913 39971.4 3.04624e+07 0 2 0 1 0.00202746 0.00417997 0.0005 1 108 178 1 0 0 0 1 0 0.94399 1 1 11 35 1 1.14599 1 1.29197
274 14.0353 39989 3.04759e+07 0 2 0 1 0.0020277 0.0041804 0 0 0 178 0 1 0 1 0 0 0.945591 1 1 13 34 1 1.14545 1 1.29091
275 14.0792 40006.7 3.04891e+07 0 1 0 1 0.00202795 0.00418396 0.0005 1 101 101 1 0 0 0 1 0 0.945591 1 1 12 35 1 1.14493 1 1.28986
276 14.1251 40018.4 3.04983e+07 0 1 0 1 0.00202842 0.00418439 0.001 1 153 196 1 0 0 0 1 0 0.945591 1 1 9 36 1 1.1444 1 1.28881
277 14.1707 40030.9 3.05083e+07 0 2 0 1 0.00202913 0.00418444 0.0005 1 72 210 1 0 0 0 1 0 0.945591 1 1 19 37 1 1.14388 1 1.28777
278 14.2174 40040.5 3.05155e+07 0 2 0 1 0.00202934 0.00418423 0.0005 1 155 241 1 0 0 0 1 0 0.945591 1 1 12 38 1 1.14337 1 1.28674
279 14.2642 40049.4 3.0522e+07 0 2 0 1 0.0020298 0.00418611 0 0 0 241 0 1 0 1 0 0 0.851032 1 1 26 37 1 1.14286 1 1.28571
280 14.3113 40057.5 3.0528e+07 0 1 0 1 0.00202828 0.00418133 0.0005 1 102 102 1 0 0 0 1 0 0.851032 1 1 17 36 1 1.14235 1 1.2847
281 14.359 40063.9 3.05334e+07 0 2 0 1 0.0020285 0.00418261 0.0005 1 85 169 1 0 0 0 1 0 0.851032 1 1 16 37 1 1.14184 1 1.28369
282 14.4064 40071 3.05389e+07 0 1 0 1 0.00202783 0.00418141 0.001 1 76 179 1 0 0 0 1 0 0.851032 1 1 17 36 1 1.14134 1 1.28269
283 14.4516 40084.4 3.05491e+07 0 1 0 1 0.00202748 0.00418176 0.001 1 76 181 1 0 0 0 1 0 0.851032 1 1 24 35 1 1.14085 1 1.28169
284 14.4965 40098.6 3.05596e+07 0 1 0 1 0.00202743 0.00417967 0 0 0 181 0 1 0 1 0 0 0.861929 1 1 21 34 1 1.14035 1 1.2807
285 14.5439 40105.4 3.05656e+07 0 1 0 1 0.0020275 0.00417703 0 0 0 0 0 1 0 1 0 0 0.871736 1 1 22 33 1 1.13986 1 1.27972
286 14.5895 40117.5 3.05745e+07 0 1 0 1 0.00202786 0.00418163 0 0 0 0 0 1 0 1 0 0 0.784562 1 1 18 32 1 1.13937 1 1.27875
287 14.6344 40131.2 3.0585e+07 0 1 0 1 0.00202825 0.00418311 0.0005 1 167 167 1 0 0 0 1 0 0.784562 1 1 16 33 1 1.13889 1 1.27778
288 14.68 40143.1 3.05941e+07 0 2 0 1 0.00202868 0.00418329 0.002 1 113 196 1 0 0 0 1 0 0.784562 1 1 22 34 1 1.13841 1 1.27682
289 14.7272 40150.3 3.05995e+07 0 3 0 1 0.00202916 0.00418423 0.001 1 51 195 1 0 0 0 1 0 0.784562 1 1 12 35 1 1.13793 1 1.27586
290 14.7722 40163.7 3.06098e+07 0 1 0 1 0.00202886 0.00418408 0.002 1 118 213 1 0 0 0 1 0 0.784562 1 1 9 34 1 1.13746 1 1.27491
291 14.8172 40176.8 3.06196e+07 0 3 0 1 0.00202875 0.00418434 0.001 1 100 193 1 0 0 0 1 0 0.784562 1 1 17 34 1 1.13699 1 1.27397
292 14.8622 40190.2 3.06297e+07 0 1 0 1 0.00202888 0.00418221 0.0035 1 150 221 1 0 0 0 1 0 0.784562 1 1 13 35 1 1.13652 1 1.27304
293 14.9071 40203.5 3.06394e+07 0 1 0 1 0.00202894 0.00418319 0.002 1 157 276 1 0 0 0 1 0 0.784562 1 1 10 36 1 1.13605 1 1.27211
294 14.9538 40211.9 3.0645e+07 0 2 0 1 0.00202909 0.00418535 0.002 1 167 281 1 0 0 0 1 0 0.784562 1 1 15 37 1 1.13559 1 1.27119
