#instance_name: normalized-10arraycomm_teq_tvars_less
#number_of_variables: 620
#number_of_Constraints: 341
#iteration elapsed_time averaged_inner_iteration_speed averaged_move_evaluation_speed local_objective local_violation global_objective global_violation primal_intensity dual_intensity performance update_status distance_from_current_solution distance_from_global_solution employing_local_solution_flag employing_global_solution_flag employing_previous_solution_flag is_enabled_penalty_coefficient_relaxing is_enabled_penalty_coefficient_tightening penalty_coefficient_reset_flag penalty_coefficient_relaxing_rate penalty_coefficient_tightening_rate is_enabled_forcibly_initial_modification number_of_initial_modification initial_tabu_tenure number_of_threads_move_update; averaged_number_of_threads_move_update; number_of_threads_move_evaluation averaged_number_of_threads_move_evaluation 
32 3.00297 24251.5 1.84043e+07 0 1 0 1 0.00207593 0.00470077 0.0005 1 148 217 1 0 0 0 1 0 0.96 1 1 17 31 1 2.21212 1 3.42424
33 3.04653 24592.7 1.86633e+07 0 1 0 1 0.0020751 0.00471303 0.0005 1 83 208 1 0 0 0 1 0 0.96 1 1 21 30 1 2.17647 1 3.35294
34 3.09149 24911 1.8904e+07 0 1 0 1 0.0020717 0.00468828 0.0005 1 64 194 1 0 0 0 1 0 0.96 1 1 17 30 1 2.14286 1 3.28571
35 3.13883 25198.2 1.91277e+07 0 1 0 1 0.00207937 0.00471112 0.0005 1 73 211 1 0 0 0 1 0 0.96 1 1 13 31 1 2.11111 1 3.22222
36 3.18518 25484.7 1.93448e+07 0 1 0 1 0.00207441 0.00469037 0.0005 1 103 204 1 0 0 0 1 0 0.96 1 1 19 30 1 2.08108 1 3.16216
37 3.23269 25752.2 1.95529e+07 0 1 0 1 0.00208176 0.004711 0.0005 1 62 206 1 0 0 0 1 0 0.96 1 1 16 31 1 2.05263 1 3.10526
38 3.28017 26011.4 1.97547e+07 0 1 0 1 0.00207658 0.00470845 0.0005 1 87 233 1 0 0 0 1 0 0.96 1 1 12 30 1 2.02564 1 3.05128
39 3.32714 26267 1.99495e+07 0 1 0 1 0.00208065 0.00470346 0.0005 1 47 210 1 0 0 0 1 0 0.96 1 1 12 31 1 2 1 3
40 3.37133 26538.5 2.01577e+07 0 1 0 1 0.00208099 0.00471268 0.0005 1 55 199 1 0 0 0 1 0 0.96 1 1 21 32 1 1.97561 1 2.95122
41 3.416 26798.4 2.03556e+07 0 1 0 1 0.00206901 0.00468692 0.0005 1 65 228 1 0 0 0 1 0 0.96 1 1 9 31 1 1.95238 1 2.90476
